,ID,Area Category,Rank Area Category,Luas Tanah (m2),Luas Bangunan (m2),Jumlah Kamar,Jumlah Km Mandi,Tingkat/Lantai,Harga rata2 Komunitas,Harga Dipasarkan (dari Owner),Harga Terjual,Terjual/Belum,Encode Terjual/Belum,Status Kepemilikan,Rank Status Kepemilikan,Arah Hadap Rumah,Rank Arah Hadap Rumah,Posisi Rumah,Rank Posisi Rumah,Lebar Jalan Depan Rumah (ROW),Pemilik Butuh Uang (Urgent),Encode Butuh Uang,Umur Bangunan,Siap Huni (Y/N),Furnish  (Y/N),Encode Furnish,Listed Berapa Lama,Encode Listed,Fasilitas Publik
113,,4,4,1554.0,1500.0,7,6,2.0,38500.0,38500.0,0.0,0,0,3,5,4,4,5,6,3,0,0.0,2.0,1,1,1,1,8.0,1
114,,2,2,105.0,170.0,5,2,2.0,1395.0,1900.0,0.0,0,0,3,5,2,2,5,6,2,0,0.0,1.0,1,0,0,1,8.0,2
115,,2,2,158.0,180.0,5,4,2.0,2400.0,2000.0,0.0,0,0,2,3,3,3,5,6,2,0,0.0,1.0,1,0,0,1,8.0,2
116,,2,2,115.0,104.0,4,3,2.0,1850.0,1850.0,0.0,0,0,4,4,3,3,5,6,2,0,0.0,2.0,1,0,0,1,8.0,2
117,,2,2,97.7,50.0,2,1,1.0,1250.0,1250.0,0.0,0,0,2,3,1,1,5,6,3,0,0.0,1.0,1,0,0,1,8.0,2
118,,2,2,105.0,69.0,3,2,2.0,1836.0,1850.0,0.0,0,0,3,5,3,3,5,6,3,0,0.0,1.0,1,0,0,1,8.0,2
119,,3,3,105.0,104.0,3,2,2.0,1900.0,1900.0,0.0,0,0,2,3,3,3,5,6,3,0,0.0,1.0,1,0,0,1,8.0,1
120,,3,3,60.0,48.0,1,2,2.0,1250.0,1200.0,0.0,0,0,4,4,2,2,5,6,3,0,0.0,1.0,1,0,0,1,8.0,1
121,,3,3,180.0,130.0,4,3,1.0,2400.0,2600.0,0.0,0,0,3,5,3,3,5,6,3,0,0.0,1.0,1,1,1,1,8.0,1
122,,2,2,286.0,262.0,5,2,1.0,4100.0,4100.0,0.0,0,0,3,5,2,2,5,6,3,0,0.0,2.0,1,0,0,1,8.0,1
123,,2,2,84.0,120.0,4,3,2.0,1300.0,1300.0,0.0,0,0,3,5,4,4,5,6,2,1,1.0,1.0,1,0,0,1,1.0,0
124,,2,2,83.0,140.0,6,1,2.0,2000.0,1700.0,0.0,0,0,3,5,1,1,3,5,2,1,1.0,3.0,0,0,0,1,6.0,1
